TestDate;TestTime;BatchSerialNumber;BatchCustomer;BatchModuleType;BatchProtocolFile;ASCIIFileVersion;
26-09-2018;10:06:29;-;-;-;-;1.04;

CellParamArea [mm²];Tcell [°C];CellParamTkI [%/°C];CellParamTkU [%/°C];Tmonicell [°C];MonicellParamTkI [%/°C];CorrectedToInsol [W/m²];MonicellMvToInsol [W/m²/mV];MonicellSpectralMismatch;CorrectionTyp;IEC60891_RsType;IEC60891_TkI [mA/cm²/K];IEC60891_TkU [mV/K];IEC60891_Kfact [Ohm*cm²/K];IEC60891_FixValRs [Ohm];MeasureTimeLf [ms];ElectronicLoadType;MeasurementType;MonitorcellGainFactor;SectionMeasurementCountLf;IEC60891A_TkI [A/K];IEC60891A_TkU [V/K];IEC60891A_Kfact [Ohm/K];IEC60891A_FixValRs [Ohm];
1940352;24.59;0.07000;-0.30000;23.75;0.04700;1000.00000;19.91474;1.00000;IEC60891A;0;0.000300;-120.00000;0.873000;0.300000;40;EL2;LF;1.00000;1;0.005700;-0.120000;0.00005200;0.300000;

Isc [A];Uoc [V];Impp [A];Umpp [V];Pmpp [W];Eta [%];FF [%];Rser [Ohm];Rshunt [Ohm];Insol [W/m²];
0.08382905;37.21907054;0.05920877;30.61417971;1.81262797;0.09;58.10;-;4510.3;1000.182;

DispUFrom [V];DispUTo [V];DispUScalLines;DispUScalSkip;DispUDecimals;DispIFrom [A];DispITo [A];DispIScalLines;DispIScalSkip;DispIDecimals;MeasTime_raw [ms];MeasTime_cor [ms];
-5.000000;60.000000;13;1.000;1;-1.000000;11.000000;12;1.000;1;40.000;40.000;

Nr;Uraw [[V]];Iraw [[A]];Eraw [[mV]];Uflt [[V]];Iflt [[A]];Eflt [[mV]];Ucor [[V]];Icor [[A]];Ecor [[W/m2]];
70;15.049727395;0.067731127;5030.619072182;15.050496552;0.067771023;5031.460702417;15.000660195;0.069887248;1002.589038296;
71;15.314125130;0.067731127;5030.009195201;15.315150673;0.067677931;5030.265343533;15.265308238;0.069814419;1002.350846291;
72;15.580125276;0.067731127;5029.094379728;15.579932987;0.067571540;5029.204157585;15.530085154;0.069726026;1002.139390123;
73;15.844523011;0.067398655;5027.874625765;15.844843493;0.067438552;5028.240551954;15.794990759;0.069609386;1001.947378201;
74;16.108920746;0.067398655;5027.264748783;16.109754000;0.067292264;5027.398921719;16.059896983;0.069477383;1001.779671585;
75;16.376523302;0.067066183;5026.654871802;16.374792699;0.067106080;5026.618279183;16.324931709;0.069304453;1001.624117622;
76;16.639318627;0.067066183;5026.044994820;16.639575012;0.066906597;5025.898624345;16.589710360;0.069117192;1001.480716313;
77;16.905318772;0.066733712;5025.130179348;16.904229133;0.066680516;5025.325339982;16.854361564;0.068900850;1001.366481372;
78;17.168114097;0.066401240;5024.215363875;17.168562772;0.066454436;5024.922821174;17.118693156;0.068681608;1001.286273860;
79;17.434114243;0.066068768;5023.300548403;17.432768218;0.066241654;5024.678870381;17.382897363;0.068472972;1001.237663246;
80;17.696909567;0.066068768;5024.215363875;17.696781374;0.066068768;5024.569092525;17.646909963;0.068301952;1001.215788470;
81;17.961307302;0.065736297;5025.740056329;17.960730435;0.065909182;5024.471512208;17.910858529;0.068144024;1001.196344225;
82;18.222500216;0.065736297;5025.435117839;18.224551302;0.065776193;5024.312944192;18.174678591;0.068013730;1001.164747326;
83;18.488500362;0.065736297;5024.520302366;18.488628555;0.065656504;5024.117783558;18.438754851;0.067897358;1001.125858836;
84;18.754500508;0.065736297;5022.690671421;18.752834001;0.065536814;5023.910425385;18.702959242;0.067781193;1001.084539814;
85;19.015693422;0.065403825;5022.080794440;19.017039447;0.065417124;5023.788449988;18.967164068;0.067663576;1001.060234508;
86;19.280091157;0.065071353;5023.910425385;19.281501278;0.065310733;5023.861635226;19.231626275;0.067555941;1001.074817692;
87;19.546091302;0.065071353;5024.825240857;19.546091302;0.065217641;5024.008005702;19.496217048;0.067460361;1001.103984060;
88;19.812091448;0.065071353;5024.520302366;19.810553134;0.065137848;5024.178771257;19.760679752;0.067377665;1001.138011489;
89;20.074886773;0.065403825;5024.215363875;20.074822676;0.065071353;5024.410524510;20.024950478;0.067307232;1001.184191572;
90;20.340886918;0.065071353;5024.825240857;20.339028122;0.064991560;5024.642277763;20.289157107;0.067223500;1001.230371654;
91;20.602079832;0.064738882;5023.910425385;20.602913086;0.064898468;5024.849635936;20.553043130;0.067126884;1001.271690676;
92;20.866477567;0.064738882;5024.825240857;20.866733953;0.064805376;5025.288747363;20.816866238;0.067026331;1001.359189780;
93;21.130875303;0.064738882;5026.044994820;21.130490724;0.064712284;5025.935216964;21.080626305;0.066922257;1001.488007905;
94;21.393670627;0.064738882;5025.740056329;21.394247495;0.064619192;5026.667069341;21.344386807;0.066816736;1001.633839745;
